,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,2,0.0,0.0,0,0,0,2
2021-01-02,0,2,0.0,0.0,0,0,0,2
2021-01-03,0,2,0.0,0.0,0,0,0,2
2021-01-04,0,2,0.0,0.0,0,0,0,2
2021-01-05,0,2,0.0,0.0,0,0,0,2
2021-01-06,0,2,0.0,0.0,0,0,0,2
2021-01-07,0,2,0.0,0.0,0,0,0,2
2021-01-08,0,2,0.0,0.0,0,0,0,2
2021-01-09,0,2,0.0,0.0,0,0,0,2
2021-01-10,0,2,0.0,0.0,0,0,0,2
2021-01-11,0,2,0.0,0.0,0,0,0,2
2021-01-12,0,2,0.0,0.0,0,0,0,2
2021-01-13,0,2,0.0,0.0,0,0,0,2
2021-01-14,0,2,0.0,0.0,0,0,0,2
2021-01-15,0,2,0.0,0.0,0,0,0,2
2021-01-16,0,2,0.0,0.0,0,0,0,2
2021-01-17,0,2,,,0,0,0,2
2021-01-18,0,2,0.0,0.0,0,0,0,2
2021-01-19,0,2,0.0,0.0,0,0,0,2
2021-01-20,0,2,0.0,0.0,0,0,0,2
2021-01-21,0,2,0.0,0.0,0,0,0,2
2021-01-22,0,2,0.0,0.0,0,0,0,2
2021-01-23,0,2,0.0,0.0,0,0,0,2
2021-01-24,0,2,,,0,0,0,2
2021-01-25,0,2,0.0,0.0,0,0,0,2
2021-01-26,0,2,0.0,0.0,0,0,0,2
2021-01-27,0,2,,,0,0,0,2
2021-01-28,0,2,0.0,0.0,0,0,0,2
2021-01-29,0,2,0.0,0.0,0,0,0,2
2021-01-30,0,2,0.0,0.0,0,0,0,2
2021-01-31,0,2,0.0,0.0,0,0,0,2
2021-02-01,0,2,0.0,0.0,0,0,0,2
2021-02-02,0,2,0.0,0.0,0,0,0,2
2021-02-03,0,2,0.0,0.0,0,0,0,2
2021-02-04,0,2,0.0,0.0,0,0,0,2
2021-02-05,0,2,0.0,0.0,0,0,0,2
2021-02-06,0,2,0.0,0.0,0,0,0,2
2021-02-07,0,2,0.0,0.0,0,0,0,2
2021-02-08,0,2,0.0,0.0,0,0,0,2
2021-02-09,0,2,0.0,0.0,0,0,0,2
2021-02-10,0,2,0.0,0.0,0,0,0,2
2021-02-11,0,2,0.0,0.0,0,0,0,2
2021-02-12,0,2,0.0,0.0,0,0,0,2
2021-02-13,0,2,0.0,0.0,0,0,0,2
2021-02-14,0,2,0.0,0.0,0,0,0,2
2021-02-15,0,2,0.0,0.0,0,0,0,2
2021-02-16,0,2,0.0,0.0,0,0,0,2
2021-02-17,0,2,0.0,0.0,0,0,0,2
2021-02-18,0,2,0.0,0.0,0,0,0,2
2021-02-19,0,2,0.0,0.0,0,0,0,2
2021-02-20,0,2,0.0,0.0,0,0,0,2
2021-02-21,0,2,0.0,0.0,0,0,0,2
2021-02-22,0,2,0.0,0.0,0,0,0,2
2021-02-23,0,2,0.0,0.0,0,0,0,2
2021-02-24,0,2,0.0,0.0,0,0,0,2
2021-02-25,0,2,0.0,0.0,0,0,0,2
2021-02-26,0,2,0.0,0.0,0,0,0,2
2021-02-27,0,2,0.0,0.0,0,0,0,2
2021-02-28,0,2,0.0,0.0,0,0,0,2
2021-03-01,0,2,0.0,0.0,0,0,0,2
